docity,do,city,lat,lon
"강원, 강릉시",강원,강릉시,37.74913611,128.8784972
"강원, 고성군",강원,고성군,38.37796111,128.4701639
"강원, 동해시",강원,동해시,37.52193056,129.1166333
"강원, 삼척시",강원,삼척시,37.44708611,129.1674889
"강원, 속초시",강원,속초시,38.204275,128.5941667
"강원, 양구군",강원,양구군,38.10729167,127.9922444
"강원, 양양군",강원,양양군,38.07283333,128.6213556
"강원, 영월군",강원,영월군,37.18086111,128.4640194
"강원, 원주시",강원,원주시,37.33908333,127.9220556
"강원, 인제군",강원,인제군,38.06697222,128.1726972
"강원, 정선군",강원,정선군,37.37780833,128.6630861
"강원, 철원군",강원,철원군,38.14405556,127.3157333
"강원, 춘천시",강원,춘천시,37.87854167,127.7323111
"강원, 태백시",강원,태백시,37.16122778,128.9879972
"강원, 평창군",강원,평창군,37.36791667,128.3923528
"강원, 홍천군",강원,홍천군,37.69442222,127.8908417
"강원, 화천군",강원,화천군,38.10340833,127.7103556
"강원, 횡성군",강원,횡성군,37.48895833,127.9872222
"경기, 가평군",경기,가평군,37.82883056,127.5117778
"경기, 강화군",경기,강화군,37.74385833,126.49
"경기, 고양시",경기,고양시,37.65590833,126.7770556
"경기, 과천시",경기,과천시,37.42637222,126.9898
"경기, 광명시",경기,광명시,37.47575,126.8667083
"경기, 광주시",경기,광주시,37.41450556,127.2577861
"경기, 구리시",경기,구리시,37.591625,127.1318639
"경기, 군포시",경기,군포시,37.35865833,126.9375
"경기, 김포시",경기,김포시,37.61245833,126.7177778
"경기, 남양주시",경기,남양주시,37.63317778,127.2186333
"경기, 동두천시",경기,동두천시,37.90091667,127.0626528
"경기, 부천시",경기,부천시,37.5035917,126.766
"경기, 성남시",경기,성남시,37.44749167,127.1477194
"경기, 수원시",경기,수원시,37.30101111,127.0122222
"경기, 시흥시",경기,시흥시,37.37731944,126.8050778
"경기, 안산시",경기,안산시,37.29851944,126.8468194
"경기, 안성시",경기,안성시,37.005175,127.2818444
"경기, 안양시",경기,안양시,37.3897,126.9533556
"경기, 양주시",경기,양주시,37.78245,127.0478194
"경기, 양평군",경기,양평군,37.48893611,127.4898861
"경기, 여주군",경기,여주군,37.324606,127.652958
"경기, 여주시",경기,여주시,37.29535833,127.6396222
"경기, 연천군",경기,연천군,38.09336389,127.0770667
"경기, 오산시",경기,오산시,37.14691389,127.0796417
"경기, 옹진군",경기,옹진군,37.443725,126.6388889
"경기, 용인시",경기,용인시,37.23147778,127.2038444
"경기, 의왕시",경기,의왕시,37.34195,126.9703889
"경기, 의정부시",경기,의정부시,37.73528889,127.0358417
"경기, 이천시",경기,이천시,37.27543611,127.4432194
"경기, 파주시",경기,파주시,37.75708333,126.7819528
"경기, 평택시",경기,평택시,36.98943889,127.1146556
"경기, 포천시",경기,포천시,37.89215556,127.2024194
"경기, 하남시",경기,하남시,37.53649722,127.217
"경기, 화성시",경기,화성시,37.19681667,126.8335306
"경기, 인천시청",경기,인천시청,37.45617301,126.7059186
"경상, 거제시",경상,거제시,34.87735833,128.6233556
"경상, 거창군",경상,거창군,35.683625,127.9116556
"경상, 경산시",경상,경산시,35.82208889,128.7434639
"경상, 경주시",경상,경주시,35.85316944,129.2270222
"경상, 고령군",경상,고령군,35.72298611,128.2650222
"경상, 고성군",경상,고성군,34.9699,128.3245417
"경상, 구미시",경상,구미시,36.11655,128.3467778
"경상, 군위군",경상,군위군,36.23999722,128.5750778
"경상, 기장군",경상,기장군,35.24135,129.224475
"경상, 김천시",경상,김천시,36.13689722,128.1158
"경상, 김해시",경상,김해시,35.22550556,128.8916667
"경상, 남해군",경상,남해군,34.83455833,127.8944667
"경상, 달성군",경상,달성군,35.77168056,128.433275
"경상, 마산시",경상,마산시,35.196874 ,128.567863 
"경상, 문경시",경상,문경시,36.58363056,128.1890194
"경상, 밀양시",경상,밀양시,35.50077778,128.7489444
"경상, 봉화군",경상,봉화군,36.89026111,128.734875
"경상, 사천시",경상,사천시,35.00028333,128.0667778
"경상, 산청군",경상,산청군,35.41249167,127.8756194
"경상, 상주시",경상,상주시,36.40796944,128.1612639
"경상, 성주군",경상,성주군,35.91621111,128.2851528
"경상, 안동시",경상,안동시,36.56546389,128.7316222
"경상, 양산시",경상,양산시,35.33192778,129.0394111
"경상, 영덕군",경상,영덕군,36.41210278,129.3683556
"경상, 영양군",경상,영양군,36.664275,129.1146222
"경상, 영주시",경상,영주시,36.80293611,128.6263444
"경상, 영천시",경상,영천시,35.97005278,128.940775
"경상, 예천군",경상,예천군,36.65495000,128.4550222
"경상, 울릉군",경상,울릉군,37.48057500,130.9037889
"경상, 울주군",경상,울주군,35.53073889,129.2971639
"경상, 울진군",경상,울진군,36.99018611,129.4027861
"경상, 의령군",경상,의령군,35.31911944,128.2638222
"경상, 의성군",경상,의성군,36.34975833,128.6993639
"경상, 진주시",경상,진주시,35.17703333,128.1100000
"경상, 진해시",경상,진해시,35.1330600 ,128.710081 
"경상, 창녕군",경상,창녕군,35.54153611,128.4945333
"경상, 창원시",경상,창원시,35.2540033,128.6401544
"경상, 청도군",경상,청도군,35.64431111,128.7362000
"경상, 청송군",경상,청송군,36.43329167,129.0594000
"경상, 칠곡군",경상,칠곡군,35.99254722,128.4037972
"경상, 통영시",경상,통영시,34.85125833,128.4352778
"경상, 포항시",경상,포항시,36.00568611,129.3616667
"경상, 하동군",경상,하동군,35.06420278,127.7534306
"경상, 함안군",경상,함안군,35.26940556,128.4087083
"경상, 함양군",경상,함양군,35.51746944,127.7274194
"경상, 합천군",경상,합천군,35.56361667,128.1679306
"경상, 부산시",경상,부산시,35.1798,129.075
"경상, 대구시",경상,대구시,35.8715,128.6017
"경상, 울산시",경상,울산시,35.546,129.3123
"광주시, 광산구",광주시,광산구,35.13995836,126.793668
"광주시, 남구",광주시,남구,35.13301749,126.9025572
"광주시, 동구",광주시,동구,35.14627776,126.9230903
"광주시, 북구",광주시,북구,35.1812138,126.9010806
"광주시, 서구",광주시,서구,35.1525164,126.8895063
"대구시, 달서구",대구시,달서구,35.82692778,128.5350639
"대구시, 수성구",대구시,수성구,35.85520833,128.6328667
"대구시, 남구",대구시,남구,35.84621351,128.597702
"대구시, 달성군",대구시,달성군,35.77475029,128.4313995
"대구시, 동구",대구시,동구,35.88682728,128.6355584
"대구시, 북구",대구시,북구,35.8858646,128.5828924
"대구시, 서구",대구시,서구,35.87194054,128.5591601
"대구시, 중구",대구시,중구,35.86952722,128.6061745
"대전시, 대덕구",대전시,대덕구,36.35218384,127.4170933
"대전시, 동구",대전시,동구,36.31204028,127.4548596
"대전시, 서구",대전시,서구,36.35707299,127.3834158
"대전시, 유성구",대전시,유성구,36.36405586,127.3561363
"대전시, 중구",대전시,중구,36.32582989,127.421381
"부산시, 강서구",부산시,강서구,35.20916389,128.9829083
"부산시, 금정구",부산시,금정구,35.24007778,129.0943194
"부산시, 남구",부산시,남구,35.13340833,129.0865
"부산시, 동구",부산시,동구,35.13589444,129.059175
"부산시, 동래구",부산시,동래구,35.20187222,129.0858556
"부산시, 부산진구",부산시,부산진구,35.15995278,129.0553194
"부산시, 북구",부산시,북구,35.19418056,128.992475
"부산시, 사상구",부산시,사상구,35.14946667,128.9933333
"부산시, 사하구",부산시,사하구,35.10142778,128.9770417
"부산시, 서구",부산시,서구,35.09483611,129.0263778
"부산시, 수영구",부산시,수영구,35.14246667,129.115375
"부산시, 연제구",부산시,연제구,35.17318611,129.082075
"부산시, 영도구",부산시,영도구,35.08811667,129.0701861
"부산시, 중구",부산시,중구,35.10321667,129.0345083
"부산시, 해운대구",부산시,해운대구,35.16001944,129.1658083
"부산시, 기장군",부산시,기장군,35.24477541,129.2222873
"서울, 강남구",서울,강남구,37.514575,127.0495556
"서울, 강동구",서울,강동구,37.52736667,127.1258639
"서울, 강북구",서울,강북구,37.63695556,127.0277194
"서울, 강서구",서울,강서구,37.54815556,126.851675
"서울, 관악구",서울,관악구,37.47538611,126.9538444
"서울, 광진구",서울,광진구,37.53573889,127.0845333
"서울, 구로구",서울,구로구,37.49265,126.8895972
"서울, 금천구",서울,금천구,37.44910833,126.9041972
"서울, 노원구",서울,노원구,37.65146111,127.0583889
"서울, 도봉구",서울,도봉구,37.66583333,127.0495222
"서울, 동대문구",서울,동대문구,37.571625,127.0421417
"서울, 동작구",서울,동작구,37.50965556,126.941575
"서울, 마포구",서울,마포구,37.56070556,126.9105306
"서울, 서대문구",서울,서대문구,37.57636667,126.9388972
"서울, 서초구",서울,서초구,37.48078611,127.0348111
"서울, 성동구",서울,성동구,37.56061111,127.039
"서울, 성북구",서울,성북구,37.58638333,127.0203333
"서울, 송파구",서울,송파구,37.51175556,127.1079306
"서울, 양천구",서울,양천구,37.51423056,126.8687083
"서울, 영등포구",서울,영등포구,37.52361111,126.8983417
"서울, 용산구",서울,용산구,37.53609444,126.9675222
"서울, 은평구",서울,은평구,37.59996944,126.9312417
"서울, 종로구",서울,종로구,37.57037778,126.9816417
"서울, 중구",서울,중구,37.56100278,126.9996417
"서울, 중랑구",서울,중랑구,37.60380556,127.0947778
"울산시, 남구",울산시,남구,35.54404265,129.3301754
"울산시, 동구",울산시,동구,35.50516996,129.4166919
"울산시, 북구",울산시,북구,35.58270783,129.361245
"울산시, 울주군",울산시,울주군,35.52230648,129.2424748
"울산시, 중구",울산시,중구,35.56971228,129.3328162
"인천시, 강화군",인천시,강화군,37.74692907,126.4878417
"인천시, 계양구",인천시,계양구,37.53770728,126.737744
"인천시, 남구",인천시,남구,37.46369169,126.6502972
"인천시, 남동구",인천시,남동구,37.44971062,126.7309669
"인천시, 동구",인천시,동구,37.47401607,126.6432441
"인천시, 미추홀구",인천시,미추홀구,37.46369169,126.6502972
"인천시, 부평구",인천시,부평구,37.50784204,126.7219068
"인천시, 서구",인천시,서구,37.54546372,126.6759616
"인천시, 연수구",인천시,연수구,37.41038125,126.6782658
"인천시, 중구",인천시,중구,37.47384843,126.6217617
"전라, 강진군",전라,강진군,34.63891111,126.7691972
"전라, 고창군",전라,고창군,35.43273889,126.7041083
"전라, 고흥군",전라,고흥군,34.60806944,127.2870556
"전라, 곡성군",전라,곡성군,35.27895556,127.2941083
"전라, 광양시",전라,광양시,34.93753611,127.6981778
"전라, 구례군",전라,구례군,35.19945833,127.4649333
"전라, 군산시",전라,군산시,35.96464167,126.7388444
"전라, 김제시",전라,김제시,35.800575,126.8827528
"전라, 나주시",전라,나주시,35.01283889,126.7128667
"전라, 남원시",전라,남원시,35.41325556,127.3925
"전라, 담양군",전라,담양군,35.318125,126.9901639
"전라, 목포시",전라,목포시,34.80878889,126.3944194
"전라, 무안군",전라,무안군,34.98736944,126.4837
"전라, 무주군",전라,무주군,36.00382778,127.6628667
"전라, 보성군",전라,보성군,34.76833333,127.0820889
"전라, 부안군",전라,부안군,35.72853333,126.7356778
"전라, 순창군",전라,순창군,35.37138889,127.1396306
"전라, 순천시",전라,순천시,34.94760556,127.4893306
"전라, 신안군",전라,신안군,34.78981111,126.3817306
"전라, 여수시",전라,여수시,34.75731111,127.6643861
"전라, 영광군",전라,영광군,35.27416667,126.5140861
"전라, 영암군",전라,영암군,34.79698889,126.6986194
"전라, 완도군",전라,완도군,34.30785278,126.7570972
"전라, 완주군",전라,완주군,35.84296944,127.1495972
"전라, 익산시",전라,익산시,35.945275,126.9598528
"전라, 임실군",전라,임실군,35.60806389,127.2847528
"전라, 장성군",전라,장성군,35.29881111,126.786975
"전라, 장수군",전라,장수군,35.64429722,127.5233
"전라, 장흥군",전라,장흥군,34.678525,126.9091083
"전라, 전주시",전라,전주시,35.80918889,127.1219194
"전라, 정읍시",전라,정읍시,35.56687222,126.8581111
"전라, 진도군",전라,진도군,34.48375,126.2655444
"전라, 진안군",전라,진안군,35.78871944,127.4269667
"전라, 함평군",전라,함평군,35.06274444,126.5186194
"전라, 해남군",전라,해남군,34.57043611,126.6012889
"전라, 화순군",전라,화순군,35.06148056,126.9885667
"전라, 광주시",전라,광주시,37.42949814,127.2551569
"제주, 서귀포시",제주,서귀포시,33.25235,126.5125556
"제주, 제주시",제주,제주시,33.49631111,126.5332083
"충청, 갈매로",충청,갈매로,35.86854167,128.6035528
"충청, 계룡시",충청,계룡시,36.27183611,127.2509306
"충청, 고운동",충청,고운동,36.519901,127.236112
"충청, 공주시",충청,공주시,36.44361389,127.1211194
"충청, 괴산군",충청,괴산군,36.81243056,127.7888306
"충청, 국책연구원1로",충청,국책연구원1로,36.488994,127.29562
"충청, 금남면",충청,금남면,36.463826,127.28035
"충청, 금산군",충청,금산군,36.10586944,127.4903083
"충청, 나리1로",충청,나리1로,36.891878,126.613277
"충청, 나리로",충청,나리로,36.891878,126.613277
"충청, 남세종로",충청,남세종로,36.479522,127.289448
"충청, 노을3로",충청,노을3로,36.47944,127.258565
"충청, 논산시",충청,논산시,36.18420278,127.1009111
"충청, 누리로",충청,누리로,36.475097,127.252375
"충청, 다솜1로",충청,다솜1로,36.516156,127.254501
"충청, 다정남로",충청,다정남로,36.493402,127.241922
"충청, 다정동",충청,다정동,36.500442,127.234917
"충청, 다정북로",충청,다정북로,36.49573,127.255849
"충청, 다정중앙로",충청,다정중앙로,36.496682,127.246898
"충청, 단양군",충청,단양군,36.98178056,128.3678417
"충청, 달빛1로",충청,달빛1로,36.509374,127.2463
"충청, 달빛로",충청,달빛로,36.508065,127.25066
"충청, 당진군",충청,당진군,36.881997,127.684597
"충청, 당진시",충청,당진시,36.89075,126.6302528
"충청, 대평로",충청,대평로,36.469407,127.282581
"충청, 도담동",충청,도담동,36.51731111,127.2623972
"충청, 도움1로",충청,도움1로,36.502796,127.247611
"충청, 도움3로",충청,도움3로,36.504689,127.249982
"충청, 마음로",충청,마음로,36.518492,127.232222
"충청, 마음안1로",충청,마음안1로,36.517357,127.236121
"충청, 마음안로",충청,마음안로,36.517357,127.236121
"충청, 만남로",충청,만남로,36.822626,127.160304
"충청, 보듬2로",충청,보듬2로,36.51288,127.265305
"충청, 보듬3로",충청,보듬3로,36.51288,127.265305
"충청, 보듬4로",충청,보듬4로,36.51288,127.265305
"충청, 보람동",충청,보람동,36.478112,127.28094
"충청, 보람동로",충청,보람동로,36.478112,127.28094
"충청, 보람로",충청,보람로,36.478112,127.28094
"충청, 보령시",충청,보령시,36.330575,126.6148861
"충청, 보은군",충청,보은군,36.48653333,127.7316083
"충청, 부강면",충청,부강면,36.527112,127.370376
"충청, 부여군",충청,부여군,36.27282222,126.9118639
"충청, 새롬남로",충청,새롬남로,36.479121,127.254403
"충청, 새롬동",충청,새롬동,36.479121,127.254403
"충청, 새롬북로",충청,새롬북로,36.479121,127.254403
"충청, 새롬중앙로",충청,새롬중앙로,36.479121,127.254403
"충청, 서산시",충청,서산시,36.78209722,126.4521639
"충청, 서천군",충청,서천군,36.07740556,126.6938889
"충청, 소담동",충청,소담동,36.488897,127.3000509
"충청, 소정면",충청,소정면,36.7223175,127.1582525
"충청, 시청대로",충청,시청대로,36.484202,127.296956
"충청, 아름동",충청,아름동,36.51204167,127.2482222
"충청, 아산시",충청,아산시,36.78710556,127.0046417
"충청, 연기군",충청,연기군,36.474616,127.282781
"충청, 연기면",충청,연기면,36.5418737,127.2737741
"충청, 연동면",충청,연동면,36.5590889,127.3268658
"충청, 연서면",충청,연서면,36.592587,127.2716217
"충청, 영동군",충청,영동군,36.17205833,127.7856111
"충청, 예산군",충청,예산군,36.67980556,126.850875
"충청, 옥천군",충청,옥천군,36.30355,127.5736333
"충청, 음성군",충청,음성군,36.93740556,127.6926222
"충청, 장군면",충청,장군면,36.4967934,127.2056006
"충청, 전의면",충청,전의면,36.6812513,127.1955125
"충청, 절재로",충청,절재로,36.50843,127.262509
"충청, 제천시",충청,제천시,37.12976944,128.1931528
"충청, 조치원읍",충청,조치원읍,36.604528,127.298399
"충청, 종촌동",충청,종촌동,36.5119569,127.247612
"충청, 증평군",충청,증평군,36.78218056,127.5832889
"충청, 진천군",충청,진천군,36.85253889,127.4376444
"충청, 천안시",충청,천안시,36.804125,127.1524667
"충청, 청양군",충청,청양군,36.45626944,126.8042556
"충청, 청원군",충청,청원군,36.549748,127.431119
"충청, 청주시",충청,청주시,36.58399722,127.5117306
"충청, 충주시",충청,충주시,36.98818056,127.9281444
"충청, 태안군",충청,태안군,36.74266667,126.299975
"충청, 한누리대로",충청,한누리대로,36.48545,127.289926
"충청, 홍성군",충청,홍성군,36.59836111,126.6629083
"충청, 대전시",충청,대전시,36.3506295,127.3848616
